associated_id,term,type
1012,CDH13,ENTREZID
1013,CDH15,ENTREZID
1014,CDH16,ENTREZID
1015,CDH17,ENTREZID
1016,CDH18,ENTREZID
1017,CDK2,ENTREZID
1018,CDK3,ENTREZID
1019,CDK4,ENTREZID
1020,CDK5,ENTREZID
1021,CDK6,ENTREZID
1022,CDK7,ENTREZID
1023,CDL2,ENTREZID
1024,CDK8,ENTREZID
1025,CDK9,ENTREZID
1026,CDKN1A,ENTREZID
1027,CDKN1B,ENTREZID
1028,CDKN1C,ENTREZID
1029,CDKN2A,ENTREZID
1030,CDKN2B,ENTREZID
1031,CDKN2C,ENTREZID
1032,CDKN2D,ENTREZID
1033,CDKN3,ENTREZID
1036,CDO1,ENTREZID
1038,CDR1,ENTREZID
1039,CDR2,ENTREZID
1040,CDS1,ENTREZID
1041,CDSN,ENTREZID
1043,CD52,ENTREZID
1044,CDX1,ENTREZID
1045,CDX2,ENTREZID
1046,CDX4,ENTREZID
1047,CLGN,ENTREZID
1048,CEACAM5,ENTREZID
1050,CEBPA,ENTREZID
1051,CEBPB,ENTREZID
1052,CEBPD,ENTREZID
1053,CEBPE,ENTREZID
1054,CEBPG,ENTREZID
1055,CECR,ENTREZID
1056,CEL,ENTREZID
1057,CELP,ENTREZID
1058,CENPA,ENTREZID
1059,CENPB,ENTREZID
1060,CENPC,ENTREZID
1061,CENPCP1,ENTREZID
1062,CENPE,ENTREZID
1063,CENPF,ENTREZID
1066,CES1,ENTREZID
1068,CETN1,ENTREZID
1069,CETN2,ENTREZID
1070,CETN3,ENTREZID
1071,CETP,ENTREZID
1072,CFL1,ENTREZID
1073,CFL2,ENTREZID
1074,CFL1P5,ENTREZID
1075,CTSC,ENTREZID
1080,CFTR,ENTREZID
1081,CGA,ENTREZID
1082,CGB3,ENTREZID
1083,CGF1,ENTREZID
1084,CEACAM3,ENTREZID
1085,CEACAMP5,ENTREZID
1086,CEACAMP11,ENTREZID
1087,CEACAM7,ENTREZID
1088,CEACAM8,ENTREZID
1089,CEACAM4,ENTREZID
1090,CEACAMP1,ENTREZID
1091,CEACAMP2,ENTREZID
1092,CEACAMP3,ENTREZID
1093,CEACAMP4,ENTREZID
1094,CEACAMP6,ENTREZID
1095,CEACAMP7,ENTREZID
1096,CEACAMP8,ENTREZID
1097,CEACAMP9,ENTREZID
1098,CEACAMP10,ENTREZID
1101,CHAD,ENTREZID
1102,RCBTB2,ENTREZID
1103,CHAT,ENTREZID
1104,RCC1,ENTREZID
1105,CHD1,ENTREZID
1106,CHD2,ENTREZID
1107,CHD3,ENTREZID
1108,CHD4,ENTREZID
1109,AKR1C4,ENTREZID
1111,CHEK1,ENTREZID
1112,FOXN3,ENTREZID
1113,CHGA,ENTREZID
1114,CHGB,ENTREZID
1116,CHI3L1,ENTREZID
1117,CHI3L2,ENTREZID
1118,CHIT1,ENTREZID
1119,CHKA,ENTREZID
1120,CHKB,ENTREZID
1121,CHM,ENTREZID
1122,CHML,ENTREZID
1123,CHN1,ENTREZID
1124,CHN2,ENTREZID
1125,CHR,ENTREZID
1128,CHRM1,ENTREZID
1129,CHRM2,ENTREZID
1130,LYST,ENTREZID
1131,CHRM3,ENTREZID
1132,CHRM4,ENTREZID
1133,CHRM5,ENTREZID
